序号,证券代码,证券简称,最新价,涨跌幅,关联原因,所属其他概念
1,2017,东信和平,11.26,9.96%,"SIM卡生产商，金融IC卡、智能卡生产商；转型平台运营商，平台建设正稳步推进,预计年内将可与部分城市的公交系统对接,从而实现线上用户的开发",金融IC卡，物联网，移动支付
2,600289,*ST信通,2.7,2.66%,主要从事电信管理软件、信息安全、增值业务、智能交通等方面的行业应用软件开发、解决方案提供和技术服务，是中国最大的应用软件开发和集成商之一,智慧城市
3,600804,鹏博士,7.22,1.83%,"通过超宽带云管端平台搭载各类互联网应用,特别是通过大麦盒子和大麦电视的推广和部署,构建全球OTT平台，打造宽带、互联网电视、语音、智慧家庭、在线教育和移动转售六合一的统一通信云平台",大数据，移动转售，云计算
4,2049,紫光国微,29.08,0.10%,布局存储全产业链，国内存储第一股，国内IC龙头。600亿元拟投入存储芯片工厂，37.9 亿元拟收购台湾力成25%股权，162亿元拟投入对芯片产业链上下游的公司的收购。,电子元件，核高基，集成电路，金融IC卡，蓝宝石，芯片国产化，移动支付
5,600485,信威集团,--,--,"信威集团基于灵巧通信搭建的“空天信息网络”作为中国升级版的“铱星计划”,实现全球100%无缝覆盖,地、空、天三位一体的无线宽带信息网络。",3G
6,2446,盛路通信,8.65,-0.35%,公司是一家专门从事各类通信天线、微波器件设备研发和生产的民营高科技企业，也是国内规模最大、技术最先进的通信设备制造商之一，国内领先的天线、射频设备及器件的生产基地。是国内规模最大、技术最先进的通信设备制造商之一,4G，北斗导航，车联网，军民融合，无人驾驶，移动支付
7,600050,中国联通,5.15,-0.39%,电信行业3巨头之一,3G，混改，三网融合，梧桐树，移动支付，中字头
8,2115,三维通信,10.69,-0.93%,是专业提供无线产品和网络覆盖解决方案的国家重点高新技术企业和软件企业。公司致力于为客户提供无线网络延伸覆盖、网络优化以及无线系统综合解决方案，跨越WCDMA、TD-SCDMA、GSM、CDMA等多个网络平台,量子信息
9,300077,国民技术,7.46,-1.19%,公司主营集成电路、关键元器件、安全芯片及移动支付类产品：金融IC、4G、5G。,恒大，集成电路，举牌，金融IC卡，网络安全，芯片国产化，移动支付
10,300299,富春股份,4.83,-2.23%,专业为中国移动、中国联通、中国电信等通信运营商提供通信网络建设技术服务；9亿收购上海骏梦，涉足网游业务；增资APP开发商打造大文化产业链,4G
11,2231,奥维通信,7.32,-2.40%,国内网络优化行业主流企业，同时造养老综合服务平台,4G，养老
12,600198,*ST大唐,6.68,-3.05%,主营集成电路、芯片，芯片国产化龙头企业。高端五模芯片实现放量应用，军工芯片市场独占鳌头,4G，集成电路，金融IC卡，网络游戏，芯片国产化，移动支付
13,600498,烽火通信,27.52,-3.37%,是国内优秀的信息通信领域设备与网络解决方案提供商，国家科技部认定的国内光通信领域唯一的“863”计划成果产业化基地、“武汉·中国光谷”龙头企业之一。公司掌握了大批光通信领域核心技术，参与制定国家标准和行业标准200多项 ,3G，4G，参股基金，大数据，证金汇金
14,300502,新易盛,18.65,-3.87%,在投资者关系互动平台上表示，公司正在研发能够应用于5G的新产品；公司是一家专注于光通信领域传输和接入技术的高新技术企业，专业从事光模块的研发及制造,次新股，高送转
15,63,中兴通讯,18.78,-3.99%,中国芯片行业龙头之一，子公司中兴微电子是国产芯片的先驱。集团是中国电信市场的主导通信设备供应商之一，其各大类产品也已经成功进入全球电信市场,4G，深港通，物联网，无线充电，芯片国产化，移动支付
16,2792,通宇通讯,30.61,-5.70%,产品主要包括基站天线、射频器件、微波天线等；已取得E-BAND和Class4两大产品技术优势，着手进行5G的技术储备,次新股
17,300292,吴通控股,3.65,-6.41%,公司是国内领先的通信射频连接系统专业供应商。专业从事无线通信射频连接系统、光纤连接产品的研发、生产及销售，产品主要为无线通信射频连接系统和光纤连接产品两大类,--
18,300134,大富科技,9.03,-6.62%,移动的TD-LTE制造商，射频器件,4G，工业4.0，OLED，石墨烯，特斯拉，智能穿戴
19,300050,世纪鼎利,5.66,-7.97%,是一家为移动通信运营商、系统设备提供商、第三方咨询服务公司提供无线网络测试、优化、规划工具等软件产品以及提供网络规划、优化、评估等技术服务的高科技企业,4G
20,300136,信维通信,19.88,-8.77%,主营移动终端天线，主要产品包括机天线、蓝牙天线、天线组件、手机电视天线、GPS终端天线等移动终端天线，主要应用于手机、笔记本电脑及上网本等各类便携式移动终端产品。,无线充电，移动支付，智能音箱
,,,,,,
,,,,,,
,,,,,,
,,,,,,
序号,证券代码,证券简称,最新价,涨跌幅,关联原因,所属其他概念
1,300136,信维通信,19.88,-8.77%,主营移动终端天线，主要产品包括机天线、蓝牙天线、天线组件、手机电视天线、GPS终端天线等移动终端天线，主要应用于手机、笔记本电脑及上网本等各类便携式移动终端产品。,无线充电，移动支付，智能音箱
2,300050,世纪鼎利,5.66,-7.97%,是一家为移动通信运营商、系统设备提供商、第三方咨询服务公司提供无线网络测试、优化、规划工具等软件产品以及提供网络规划、优化、评估等技术服务的高科技企业,4G
3,300134,大富科技,9.03,-6.62%,移动的TD-LTE制造商，射频器件,4G，工业4.0，OLED，石墨烯，特斯拉，智能穿戴
4,300292,吴通控股,3.65,-6.41%,公司是国内领先的通信射频连接系统专业供应商。专业从事无线通信射频连接系统、光纤连接产品的研发、生产及销售，产品主要为无线通信射频连接系统和光纤连接产品两大类,--
5,2792,通宇通讯,30.61,-5.70%,产品主要包括基站天线、射频器件、微波天线等；已取得E-BAND和Class4两大产品技术优势，着手进行5G的技术储备,次新股
6,63,中兴通讯,18.78,-3.99%,中国芯片行业龙头之一，子公司中兴微电子是国产芯片的先驱。集团是中国电信市场的主导通信设备供应商之一，其各大类产品也已经成功进入全球电信市场,4G，深港通，物联网，无线充电，芯片国产化，移动支付
7,300502,新易盛,18.65,-3.87%,在投资者关系互动平台上表示，公司正在研发能够应用于5G的新产品；公司是一家专注于光通信领域传输和接入技术的高新技术企业，专业从事光模块的研发及制造,次新股，高送转
8,600498,烽火通信,27.52,-3.37%,是国内优秀的信息通信领域设备与网络解决方案提供商，国家科技部认定的国内光通信领域唯一的“863”计划成果产业化基地、“武汉·中国光谷”龙头企业之一。公司掌握了大批光通信领域核心技术，参与制定国家标准和行业标准200多项 ,3G，4G，参股基金，大数据，证金汇金
9,600198,*ST大唐,6.68,-3.05%,主营集成电路、芯片，芯片国产化龙头企业。高端五模芯片实现放量应用，军工芯片市场独占鳌头,4G，集成电路，金融IC卡，网络游戏，芯片国产化，移动支付
10,2231,奥维通信,7.32,-2.40%,国内网络优化行业主流企业，同时造养老综合服务平台,4G，养老
11,300299,富春股份,4.83,-2.23%,专业为中国移动、中国联通、中国电信等通信运营商提供通信网络建设技术服务；9亿收购上海骏梦，涉足网游业务；增资APP开发商打造大文化产业链,4G
12,300077,国民技术,7.46,-1.19%,公司主营集成电路、关键元器件、安全芯片及移动支付类产品：金融IC、4G、5G。,恒大，集成电路，举牌，金融IC卡，网络安全，芯片国产化，移动支付
13,2115,三维通信,10.69,-0.93%,是专业提供无线产品和网络覆盖解决方案的国家重点高新技术企业和软件企业。公司致力于为客户提供无线网络延伸覆盖、网络优化以及无线系统综合解决方案，跨越WCDMA、TD-SCDMA、GSM、CDMA等多个网络平台,量子信息
14,600050,中国联通,5.15,-0.39%,电信行业3巨头之一,3G，混改，三网融合，梧桐树，移动支付，中字头
15,2446,盛路通信,8.65,-0.35%,公司是一家专门从事各类通信天线、微波器件设备研发和生产的民营高科技企业，也是国内规模最大、技术最先进的通信设备制造商之一，国内领先的天线、射频设备及器件的生产基地。是国内规模最大、技术最先进的通信设备制造商之一,4G，北斗导航，车联网，军民融合，无人驾驶，移动支付
16,600485,信威集团,--,--,"信威集团基于灵巧通信搭建的“空天信息网络”作为中国升级版的“铱星计划”,实现全球100%无缝覆盖,地、空、天三位一体的无线宽带信息网络。",3G
17,2049,紫光国微,29.08,0.10%,布局存储全产业链，国内存储第一股，国内IC龙头。600亿元拟投入存储芯片工厂，37.9 亿元拟收购台湾力成25%股权，162亿元拟投入对芯片产业链上下游的公司的收购。,电子元件，核高基，集成电路，金融IC卡，蓝宝石，芯片国产化，移动支付
18,600804,鹏博士,7.22,1.83%,"通过超宽带云管端平台搭载各类互联网应用,特别是通过大麦盒子和大麦电视的推广和部署,构建全球OTT平台，打造宽带、互联网电视、语音、智慧家庭、在线教育和移动转售六合一的统一通信云平台",大数据，移动转售，云计算
19,600289,*ST信通,2.7,2.66%,主要从事电信管理软件、信息安全、增值业务、智能交通等方面的行业应用软件开发、解决方案提供和技术服务，是中国最大的应用软件开发和集成商之一,智慧城市
20,2017,东信和平,11.26,9.96%,"SIM卡生产商，金融IC卡、智能卡生产商；转型平台运营商，平台建设正稳步推进,预计年内将可与部分城市的公交系统对接,从而实现线上用户的开发",金融IC卡，物联网，移动支付
